	past simple	imprf. comp.	gerund	compound gerund	jussive/imperative	n. past simple	n. imperfective	n. imperative/jussive
አሰበ - think, intend	ማሰብ							
	አሰብኩ	አስባለሁ	አስቤ	አስቤያለሁ	ላሰብ	አላሰብኩም	አላስብም	አላሰብ
	አሰብክ	ታስባለህ	አስበህ	አስበሃል	አሰብ	አላሰብክም	አታስብም	አታሰብ
	አሰብሽ	ታስቢያለሽ	አስበሽ	አስበሻል	አሰቢ	አላሰብሽም	አታስቢም	አታሰቢ
	አሰበ	ያስባል	አስቦ	አስቧል	ያሰብ	አላሰበም	አያስብም	አያሰብ
	አሰበች	ታስባለች	አስባ	አስባለች	ታሰብ	አላሰበችም	አታስብም	አታሰብ
	አሰብን	እናስባለን	አስበን	አስበናል	እናሰብ	አላሰብንም	አናስብም	አናሰብ
	አሰባችሁ	ታስባላችሁ	አስባችሁ	አስባችኋል	አሰቡ	አላሰባችሁም	አታስቡም	አታሰቡ
	አሰቡ	ያስባሉ	አስበው	አስበዋል	ያሰቡ	አላሰቡም	አያስቡም	አያሰቡ
infinitive transliteration	massäb							
	assäbku	assəballähu	assəbbe	assəbbeyallähu	lassəb	alassäbkumm	alassəbəmm	alassəb
	assäbk	tassəballäh	assəbäh	assəbähall	assəb	alassäbkəmm	atassəbəmm	attassəb
	assäbš	tassəbiyalläš	assəbäš	assəbäšall	assəbi	alassäbšəmm	atassəbimm	attassəbi
	assäbä	yassəball	assəbo	assəbwall	yassəb	alassäbämm	ayassəbəmm	ayassəb
	assäbäčč	tassəballäčč	assəba	assəballäčč	tassəb	alassäbäččəmm	atassəbəmm	attassəb
	assäbn	ənnassəballän	assəbän	assəbänall	ənnassəb	alassäbnəmm	anassəbəmm	annassəb
	assäbaččəhu	tassəballaččəhu	assəbaččəhu	assəbaččhwall	assəb	alassäbaččəhumm	atassəbumm	attassəbu
	assäbu	yassəballu	assəbäw	assəbäwall	yassəb	alassäbumm	ayassəbumm	ayassəbu
አነፀ / አነጠ - construct	ማነፅ							
	አነፅኩ	አንፃለሁ	አንጬ	አንጬያለሁ	ላነፅ	አላነፅኩም	አላንፅም	አላነፅ
	አነፅክ	ታንፃለህ	አንፀህ	አንፀሃል	አነፅ	አላነፅክም	አታንፅም	አታነፅ
	አነፅሽ	ታንጪያለሽ	አንፀሽ	አንፀሻል	አነጭ	አላነፅሽም	አታንጪም	አታነጭ
	አነፀ	ያንፃል	አንፆ	አንጿል	ያነፅ	አላነፀም	አያንፅም	አያነፅ
	አነፀች	ታንፃለች	አንፃ	አንፃለች	ታነፅ	አላነፀችም	አታንፅም	አታነፅ
	አነፅን	እናንፃለን	አንፀን	አንፀናል	እናነፅ	አላነፅንም	አናንፅም	አናነፅ
